carat,cut,color,clarity,depth,table,price,x,y,z
1.1,Ideal,H,SI2,62.0,55.0,4733,6.61,6.65,4.11
1.29,Ideal,H,SI1,62.6,56.0,6424,6.96,6.93,4.35
1.2,Premium,I,SI1,61.1,58.0,5510,6.88,6.8,4.18
1.5,Ideal,F,SI1,60.9,56.0,8770,7.43,7.36,4.5
0.9,Very Good,F,VS2,61.7,57.0,4493,6.17,6.21,3.82
0.32,Ideal,G,IF,61.7,54.0,918,4.39,4.42,2.72
0.3,Very Good,H,IF,62.9,58.0,789,4.26,4.29,2.69
0.61,Ideal,E,VVS2,61.3,54.0,2823,5.51,5.59,3.4
2.01,Premium,G,SI2,61.2,57.2,18705,8.08,8.14,4.97
0.31,Ideal,I,VS1,61.2,55.0,507,4.37,4.39,2.68
0.64,Ideal,H,SI1,61.7,55.0,1880,5.54,5.57,3.43
0.41,Ideal,E,VS2,61.6,55.0,935,4.75,4.79,2.94
0.52,Ideal,F,VS1,62.0,57.0,1872,5.16,5.13,3.19
0.3,Premium,G,IF,61.0,62.0,956,4.34,4.32,2.64
1.01,Good,H,SI2,64.1,56.0,3111,6.37,6.3,4.06
2.01,Premium,I,SI1,61.5,60.0,16499,8.12,8.01,4.96
0.32,Ideal,G,IF,60.5,57.0,954,4.42,4.44,2.68
1.51,Ideal,I,SI1,61.1,59.0,8342,7.4,7.37,4.51